날짜,시가,고가,저가,종가,거래량,등락률,EMA_short,EMA_long,MACD,MACD_Signal,RSI,RSI_Signal
2019-02-21,75300,77200,74600,76700,2874589,1.321003963011889,74714.14024755565,72266.9030556943,2447.23719186135,2632.116586513722,57.20524017467248,60.82884889059038
2019-02-22,75600,76700,75300,76700,1882653,0.0,75019.65713254709,72595.28060712435,2424.376525422733,2590.5685742955243,51.96078431372549,59.0552359752174
2019-02-25,77300,77600,74800,75400,2865712,-1.694915254237288,75078.17141984752,72803.03759918922,2275.1338206583023,2527.48162356808,53.80710659898477,58.00561009997087
2019-02-26,75000,75900,74100,75200,2483512,-0.2652519893899204,75096.91427833252,72980.59036961965,2116.323908712875,2445.2500805970394,48.04469273743017,56.013426627462735
2019-02-27,75300,75700,73700,73700,2864044,-1.9946808510638299,74882.00438935829,73033.87997187005,1848.124417488245,2325.824947975281,41.935483870967744,53.19783807616374
2019-02-28,72500,72600,69900,70000,7869451,-5.020352781546811,74130.92679099548,72809.14812210189,1321.7786688935885,2125.0156921589423,40.83769633507853,50.725809727946704
2019-03-04,70300,71400,69900,70100,4931703,0.14285714285714285,73510.7842077654,72608.47048342768,902.3137243377278,1880.4752985946996,39.247311827956985,48.43011014794877
2019-03-05,68300,70000,68300,69700,3465521,-0.5706134094151213,72924.50971426304,72393.028225396,531.4814888670371,1610.676536649167,31.976744186046517,45.13943695556832
2019-03-06,68500,69600,67400,68100,4958303,-2.295552367288379,72182.27745053027,72075.02613462592,107.25131590434466,1309.9914925002026,28.108108108108112,41.73317118607628
2019-03-07,67200,68900,67100,68100,3402570,0.0,71554.2347658333,71780.57975428326,-226.34498844995687,1002.7241963101709,23.121387283237,38.01081440550842
2019-03-08,67900,68200,66200,66700,3571792,-2.0558002936857562,70807.42941724356,71404.24051322525,-596.811095981684,682.8171378518,26.49006622516555,35.70666476943985
2019-03-11,67000,67800,66200,66600,2869008,-0.14992503748125938,70160.13258382148,71048.37084557893,-888.2382617574476,368.60605792995045,21.678321678321666,32.90099615121621
2019-03-12,67700,68600,67500,67700,2753535,1.6516516516516515,69781.65064784895,70800.34337553605,-1018.6927276870993,91.1463008065405,29.16666666666667,32.1541302543063
2019-03-13,67700,67800,65900,66800,2851596,-1.329394387001477,69322.93516356449,70504.02164401485,-1181.0864804503653,-163.30025544484067,16.54135338345864,29.031574880136773
2019-03-14,67400,67400,66400,67300,3107100,0.7485029940119761,69011.71436916995,70266.68670742116,-1254.9723382512166,-381.6346720061159,13.28125,25.88150990410942
2019-03-15,67400,68700,66700,68100,3645592,1.188707280832095,68871.45062006687,70106.19139576034,-1234.74077569347,-552.2558927435867,18.382352941176464,24.381678511522832
2019-03-18,69200,69300,67300,67800,2158588,-0.4405286343612335,68706.6120631335,69935.36240348179,-1228.7503403482842,-687.5547822645262,19.841269841269835,23.473596777472235
2019-03-19,67300,68000,66600,68000,2285169,0.2949852507374631,68597.90251495912,69792.00222544611,-1194.0997104869894,-788.8637679090189,21.42857142857143,23.064591707692074
2019-03-20,68400,70600,67600,70500,3642962,3.6764705882352944,68890.53289727311,69844.4465050427,-953.9136077695875,-821.8737358811327,38.23529411764706,26.098732189683073
2019-03-21,73500,76000,72600,75900,10030131,7.659574468085106,69968.91245153878,70293.00602318769,-324.0935716489039,-722.3177030346869,69.28104575163398,34.73519490207326
2019-03-22,78900,78900,75900,76100,5286455,0.2635046113306983,70912.15668976358,70723.15372517379,189.00296458978846,-540.0535695097918,69.48051948051948,41.68425981776251
2019-03-25,73700,74200,72600,72900,3752230,-4.204993429697766,71217.97873749226,70884.40159738314,333.5771401091188,-365.3274275860097,58.791208791208796,45.10564961245177
2019-03-26,72900,73300,71500,72700,2987678,-0.2743484224965706,71445.9820086473,71018.89036794734,427.0916406999604,-206.84361392881573,63.6904761904762,48.82261492805666
2019-03-27,71800,74100,71200,73400,2744175,0.9628610729023385,71746.6001611631,71195.2688592105,551.3313019526104,-55.20863075253051,65.14285714285714,52.086663371016755
2019-03-28,72300,73600,71700,72300,2774932,-1.4986376021798364,71831.73859790724,71277.10079556527,554.6378023419675,66.76065586636909,66.27906976744185,54.925144650301775
2019-03-29,72900,74900,72700,74200,3214170,2.627939142461964,72196.08650592151,71493.61184774562,702.4746581758955,193.90345632827436,70.0,57.94011572024142
2019-04-01,75600,77100,75500,76600,3579070,3.234501347708895,72873.61165885667,71871.86282198668,1001.7488368699851,355.4725324366165,71.92118226600985,60.736329029395115
2019-04-02,77900,78000,76100,76400,2719440,-0.26109660574412535,73416.13294210949,72207.28039072841,1208.8525513810746,526.1485362255081,74.48979591836735,63.48702240718956
